address,attributes,business_id,categories,city,hours,is_open,name,neighborhood,postal_code,review_count,stars,state,BusinessAcceptsCreditCards,BikeParking,RestaurantsDelivery,RestaurantsTakeOut,OutdoorSeating,parking_garge,parking_street,parking_validated,parking_lot,parking_valet
192 N Craig St,"['BusinessAcceptsCreditCards: True', 'DogsAllowed: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'BikeParking: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""]",JG9YJqslJuU3Dim3wmakQg,"['Food', 'Juice Bars & Smoothies', 'Cupcakes', 'Desserts', 'Bakeries']",Pittsburgh,"['Tuesday 8:0-16:0', 'Wednesday 8:0-16:0', 'Thursday 8:0-16:0', 'Friday 8:0-16:0', 'Saturday 11:0-15:0']",1,Millennial Cupcake and Parfait Bar,Oakland,15213.0,6,4.5,PA,1,1,0,1,0,0,0,0,0,0
2022 Penn Ave,"['Alcohol: beer_and_wine', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False', 'WiFi: no']",-httBl6DSZiUtDX4SQWtag,"['Food', 'Bakeries', 'Restaurants', 'Italian']",Pittsburgh,"['Monday 6:0-16:0', 'Tuesday 6:0-16:0', 'Wednesday 6:0-16:0', 'Thursday 6:0-16:0', 'Friday 6:0-16:0', 'Saturday 6:0-16:0', 'Sunday 9:0-14:0']",1,The Enrico Biscotti,Strip District,15222.0,128,4.0,PA,1,1,0,1,1,0,1,0,0,0
"2401 Penn Ave, Stall 2","['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 2']",XxoVuGxIRg0e9RevFhWFag,"['Food', 'Event Planning & Services', 'Caterers', 'Bakeries']",Pittsburgh,"['Wednesday 10:0-16:0', 'Thursday 10:0-16:0', 'Friday 10:0-16:0', 'Saturday 9:0-17:0', 'Sunday 10:0-16:0']",0,Eliza's Oven,Strip District,15222.0,13,4.5,PA,1,1,1,0,0,0,1,0,0,0
5306 Library Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",JIWf7VRyXGq0Xm2X5eEj9Q,"['Food', 'Bakeries']",Bethel Park,"['Tuesday 10:0-18:0', 'Wednesday 10:0-18:0', 'Thursday 10:0-18:0', 'Friday 10:0-20:0', 'Saturday 9:0-20:0']",1,Give Mia Cookie,,15102.0,8,4.5,PA,1,1,0,1,0,0,0,0,1,0
4209 William Penn Hwy,"['Alcohol: none', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",fzPp9ZdDhOovfqH_-Ksk-A,"['Bakeries', 'Food']",Monroeville,"['Tuesday 9:0-19:30', 'Wednesday 9:0-19:30', 'Thursday 9:0-19:30', 'Friday 9:0-19:30', 'Saturday 9:0-19:30', 'Sunday 9:0-17:0']",1,Moio's Italian Pastry Shop,,15146.0,56,4.5,PA,1,1,0,1,0,0,0,0,1,0
4905 Penn Ave,"['Alcohol: none', 'BikeParking: False', 'BusinessAcceptsBitcoin: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DogsAllowed: False', 'HasTV: False', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False', 'WiFi: no', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""]",_6C-yZCmIyOmPESJbwyaSQ,"['Food', 'Restaurants', 'Gluten-Free', 'Vegan', 'Bakeries']",Pittsburgh,"['Wednesday 10:0-16:0', 'Thursday 10:0-16:0', 'Friday 10:0-16:0', 'Saturday 9:0-17:0', 'Sunday 10:0-16:0']",1,Gluten Free Goat Bakery,Garfield,15224.0,10,4.5,PA,1,0,0,1,0,0,1,0,0,0
415 7th Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: False', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",U9vCFCDQMQ8GFr5z48h8tQ,"['Food', 'Bakeries']",West Homestead,"['Monday 9:0-16:30', 'Tuesday 9:0-16:30', 'Wednesday 9:0-16:30', 'Thursday 9:0-16:30', 'Friday 9:0-16:30']",1,Nancy B's Bakery,Homestead,15120.0,33,5.0,PA,0,1,0,1,0,0,0,0,1,0
706 Brookline Blvd,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",hD77eYBzX0yQfpAUMY8dEw,"['Food', 'Bakeries']",Pittsburgh,"['Tuesday 6:0-18:0', 'Wednesday 6:0-18:0', 'Thursday 6:0-18:0', 'Friday 6:0-18:0', 'Saturday 6:0-17:0', 'Sunday 6:0-13:0']",1,Party Cake Shop,Brookline,15226.0,24,4.0,PA,1,0,0,1,0,0,1,0,0,0
807 Liberty Ave,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 1', 'WheelchairAccessible: True']",fYvGO1IYAmGpSYlSY6VlYg,"['Food', 'Bakeries', 'Desserts']",Pittsburgh,"['Monday 7:0-19:0', 'Tuesday 7:0-19:0', 'Wednesday 7:0-19:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 9:0-17:0']",0,Dozen Bake Shop,Downtown,15222.0,7,3.5,PA,1,0,0,0,0,0,1,0,0,0
338 E 8th Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: False', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1']",qJ-V22xGzV6IKNWA8c_Nnw,"['Bakeries', 'Food']",Pittsburgh,,1,Mantsch Blue Bonnet Bakery,Homestead,15120.0,7,4.5,PA,0,1,0,0,0,0,1,0,0,0
2840 Washington Rd,"['Alcohol: beer_and_wine', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True', 'WiFi: free']",gh5MqW8s3aEyRVn-Es1geg,"['Restaurants', 'Shopping', 'Food', 'Grocery', 'American (Traditional)', 'Delis', 'Breakfast & Brunch', 'Bakeries', 'Fashion', 'Department Stores', 'Drugstores']",McMurray,"['Monday 6:0-22:0', 'Tuesday 6:0-22:0', 'Wednesday 6:0-22:0', 'Thursday 6:0-22:0', 'Friday 6:0-22:0', 'Saturday 6:0-22:0', 'Sunday 6:0-22:0']",1,Market District Express,,15317.0,18,4.0,PA,1,1,0,1,1,0,0,0,1,0
689 Washington Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",M6MiFQqy9f2a1EI3x05pmg,"['Bakeries', 'Food']",Pittsburgh,,1,Potomac Bakery,,15228.0,15,4.0,PA,1,1,0,1,0,0,1,0,0,0
557 Wendel Rd,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: False', 'BusinessAcceptsCreditCards: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTakeOut: True', 'HasTV: False', 'RestaurantsDelivery: False']",f8IzBwBi44eqKYEtaVUWxQ,"['Bakeries', 'Restaurants', 'Pubs', 'Food', 'Nightlife', 'Bars', 'American (Traditional)']",Irwin,"['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0', 'Sunday 11:0-21:0']",1,Rodney's Restaurant,,15642.0,11,4.0,PA,1,0,0,1,1,0,0,0,0,0
6401 Penn Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: no']",YWLkcMOx6YmCxDlLjBG8eA,"['Food', 'Bakeries', 'Restaurants', 'Cafes', 'Sandwiches']",Pittsburgh,"['Monday 8:0-17:0', 'Tuesday 8:0-17:0', 'Wednesday 8:0-17:0', 'Thursday 8:0-17:0', 'Friday 8:0-17:0', 'Saturday 8:0-18:0', 'Sunday 10:0-15:0']",1,Great Harvest Bread Co,East Liberty,15206.0,24,4.0,PA,1,1,0,1,0,0,0,0,1,0
1601 W High St,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 1']",cLTASgist2XiaBy6mnjubQ,"['Coffee & Tea', 'Bakeries', 'Donuts', 'Food']",Stowe,"['Monday 0:0-0:0', 'Tuesday 0:0-0:0', 'Wednesday 0:0-0:0', 'Thursday 0:0-0:0', 'Friday 0:0-0:0', 'Saturday 0:0-0:0', 'Sunday 0:0-0:0']",1,Dunkin' Donuts,,19464.0,6,1.5,PA,1,0,0,0,0,0,0,0,0,0
8901 Rt 30,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2']",4ulfwZTcforq3O4CRH1LJw,"['Grocery', 'Food', 'Bakeries']",North Huntingdon,,1,Giant Eagle,,15642.0,8,4.0,PA,1,0,0,0,0,0,0,0,1,0
"1501 Preble Ave, 1st Fl","['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DogsAllowed: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",HPX1pRtWInt_UVtfld-zsQ,"['Food', 'Bakeries', 'Cafes', 'Restaurants', 'Coffee & Tea']",Pittsburgh,"['Monday 7:0-16:0', 'Tuesday 7:0-16:0', 'Wednesday 7:0-16:0', 'Thursday 7:0-16:0', 'Friday 7:0-16:0', 'Saturday 7:30-12:0']",1,Chateau Café & Cakery,North Side,15233.0,25,4.0,PA,1,1,1,1,0,0,1,0,0,0
254 Yost Blvd,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2']",kbBULFfiYks8WekyZBfqLg,"['Food', 'Grocery', 'Bakeries']",Pittsburgh,,1,Giant Eagle,,15221.0,6,2.5,PA,1,0,0,0,0,0,0,0,0,0
6595 Hamilton Ave,['RestaurantsPriceRange2: 2'],ybd0nXoNpGIlkL9bRChs3A,"['Bakeries', 'Food', 'Kosher', 'Restaurants']",Pittsburgh,"['Monday 10:0-18:0', 'Tuesday 10:0-18:0', 'Wednesday 10:0-18:0', 'Thursday 10:0-18:0', 'Friday 7:0-14:0']",0,Sweet Tammy's,Larimer,15206.0,12,3.5,PA,0,0,0,0,0,0,0,0,0,0
3912 Perrysville Ave,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",ay8R8W91B7Mm-dv4O6apEg,"['Food', 'Bakeries']",Pittsburgh,"['Monday 6:0-16:0', 'Tuesday 6:0-16:0', 'Wednesday 6:0-16:0', 'Thursday 6:0-16:0', 'Friday 6:0-16:0', 'Saturday 6:0-16:0']",1,Schorr Bakery,Observatory Hill,15214.0,6,4.0,PA,1,0,0,1,0,0,1,0,0,0
"Carnegie Mellon University, 4910 Forbes Ave","['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: False', 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WiFi: free']",Rkxi5eR5aKGqtCCMwRAWmA,"['Coffee & Tea', 'Food', 'Bakeries']",Pittsburgh,,1,Au Bon Pain,Squirrel Hill,15213.0,3,4.5,PA,1,1,1,1,0,0,0,0,0,0
"U S Steel Tower, 600 Grant St","['BusinessAcceptsCreditCards: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'RestaurantsAttire: casual', 'RestaurantsGoodForGroups: True', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True']",r1bQO_ChWm3amIfTsRbO-g,"['Bakeries', 'Cafes', 'Food', 'Restaurants']",Pittsburgh,,1,Au Bon Pain Co,Downtown,15219.0,7,2.5,PA,1,0,0,1,0,0,0,0,0,0
3612 William Flynn Hwy,"['Alcohol: none', 'BusinessAcceptsCreditCards: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'OutdoorSeating: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True']",I5TgzHGJI3jvJq6xdauLPA,"['Bakeries', 'Desserts', 'Restaurants', 'Food']",Allison Park,"['Monday 0:0-0:0', 'Tuesday 10:0-16:0', 'Wednesday 12:0-16:0', 'Thursday 10:0-16:0', 'Friday 10:0-16:0', 'Saturday 10:0-14:0', 'Sunday 0:0-0:0']",1,Perfect Pastry,,15101.0,5,2.5,PA,1,0,0,1,0,0,0,0,0,0
720 N Homewood Ave,"['BikeParking: False', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",b6vi3Ub0tbGzGtG-pVgJfQ,"['Bakeries', 'Food']",Pittsburgh,"['Monday 6:0-17:0', 'Tuesday 6:0-17:0', 'Wednesday 6:0-17:0', 'Thursday 6:0-17:0', 'Friday 6:0-17:0', 'Saturday 6:0-17:0']",1,Dana's Bakery,Homewood,15208.0,3,4.5,PA,0,0,0,1,0,0,0,0,0,0
3968 William Penn Hwy,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",cmXobI_mF8TFVQNeyZRGhQ,"['Bakeries', 'Food']",Monroeville,"['Monday 7:0-19:0', 'Tuesday 7:0-19:0', 'Wednesday 7:0-19:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 7:0-19:0', 'Sunday 9:0-19:0']",1,Philly Pretzel Factory,,15146.0,11,4.0,PA,1,0,0,1,0,0,0,0,1,0
4172 William Penn Hwy,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': True}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",DfHXyJEcUmeO9XUsdJpb5g,"['Bagels', 'Salad', 'Sandwiches', 'Bakeries', 'Food', 'Soup', 'Restaurants', 'Breakfast & Brunch']",Monroeville,"['Monday 6:30-21:0', 'Tuesday 6:30-21:0', 'Wednesday 6:30-21:0', 'Thursday 6:30-21:0', 'Friday 6:30-21:0', 'Saturday 6:30-21:0', 'Sunday 6:30-20:0']",1,Panera Bread,,15146.0,34,3.0,PA,1,1,0,1,1,0,0,0,1,0
625 Liberty Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: free']",o5yYfL5EPfyCMeKWnKPk3A,"['Cafes', 'Restaurants', 'Food', 'Bakeries']",Pittsburgh,"['Monday 8:0-18:0', 'Tuesday 8:0-18:0', 'Wednesday 8:0-18:0', 'Thursday 8:0-18:0', 'Friday 8:0-18:0']",1,Au Bon Pain,Downtown,15222.0,13,3.5,PA,1,1,1,1,0,0,1,0,0,0
1000 Airport Blvd,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 3', 'RestaurantsTakeOut: True']",1A-W9AWb4sEESvusqf8NIw,"['Bakeries', 'Food', 'Desserts']",Coraopolis,,1,Cinnabon,,15108.0,4,4.0,PA,1,0,0,1,0,0,0,0,0,0
2013 Penn Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",NxmHbENUvV_cLRdXES1Jkg,"['Coffee & Tea', 'Food', 'Bakeries']",Pittsburgh,,1,My Sweet Lilly,Strip District,15222.0,10,4.0,PA,1,1,0,1,0,0,0,0,0,0
1108 S Braddock Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: False', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WiFi: free']",khRo2a5OaIjumox-tkg3GA,"['Food', 'Bakeries', 'Coffee & Tea']",Pittsburgh,"['Monday 7:0-21:0', 'Tuesday 7:0-21:0', 'Wednesday 7:0-21:0', 'Thursday 7:0-21:0', 'Friday 7:0-21:0', 'Saturday 7:0-21:0', 'Sunday 7:0-21:0']",1,61B Cafe,,15218.0,31,3.5,PA,0,1,0,1,1,0,1,0,0,0
1717 Penn Ave,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",zyRhwC9zs34LeYYfGc4gBA,"['Bakeries', 'Food']",Pittsburgh,"['Monday 9:0-16:0', 'Tuesday 9:0-16:0', 'Wednesday 9:0-16:0', 'Thursday 9:0-16:0', 'Friday 9:0-16:0', 'Saturday 8:0-15:0', 'Sunday 9:0-16:0']",1,Mancini's Bread Company,Strip District,15222.0,28,4.0,PA,1,0,0,1,0,0,1,0,0,0
5811 Ellsworth Ave,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 1', 'WheelchairAccessible: True']",SZ8wQ0u11V3gCkOI8JEVCQ,"['Desserts', 'Food', 'Bakeries']",Pittsburgh,"['Monday 11:0-17:0', 'Tuesday 11:0-21:0', 'Wednesday 11:0-21:0', 'Thursday 11:0-21:0', 'Friday 11:0-23:0', 'Saturday 11:0-23:0']",0,CoCo's Cupcake Cafe,Shadyside,15289.0,18,3.0,PA,1,0,0,0,0,0,1,0,0,0
2119 Murray Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: free']",pv__91LMXAbNX50NgeO55g,"['Bakeries', 'Korean', 'Desserts', 'Food', 'Restaurants']",Pittsburgh,"['Wednesday 10:0-19:0', 'Thursday 10:0-19:0', 'Friday 10:0-19:0', 'Saturday 10:0-19:0', 'Sunday 12:0-17:0']",1,Sumi's Cakery,Squirrel Hill,15217.0,54,4.5,PA,1,1,0,1,0,0,1,0,0,0
3845 Old William Penn Hwy,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",oUu1DlkYd2ULa6a-i2e3qg,"['Food', 'Bakeries']",Murrysville,,1,Spinola's Bakery,,15668.0,14,3.5,PA,1,1,0,1,0,0,0,0,1,0
942 Freeport Rd,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: free', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""]",I5z8NAbY-fajI7YWvGU8jQ,"['Food', 'Sandwiches', 'Breakfast & Brunch', 'Bakeries', 'Restaurants', 'Bagels', 'Salad', 'Soup']",Pittsburgh,"['Monday 7:0-21:0', 'Tuesday 7:0-21:0', 'Wednesday 7:0-21:0', 'Thursday 7:0-21:0', 'Friday 7:0-21:0', 'Saturday 7:0-21:0', 'Sunday 7:0-20:0']",1,Panera Bread,,15238.0,17,3.0,PA,1,1,0,1,0,0,0,0,0,0
3511 Butler St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",7O_mNtg37-1sMvQ5xmA8Dw,"['Donuts', 'Bakeries', 'Desserts', 'Food']",Pittsburgh,"['Monday 8:0-14:0', 'Tuesday 8:0-16:0', 'Wednesday 8:0-16:0', 'Thursday 8:0-16:0', 'Friday 8:0-16:0', 'Saturday 8:0-16:0', 'Sunday 9:0-14:0']",1,Bella Christie's & Lil Z's Sweet Boutique,Lawrenceville,15201.0,30,4.0,PA,1,1,1,1,0,0,1,0,0,0
